2017-10-31 15:05:15.886UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"29332.98387509"},{"period":7,"volume":"289025.59702384"},{"period":30,"volume":"1324755.9428855"}]]
2017-10-31 15:05:16.007UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"427381.42807584"},{"period":7,"volume":"4181863.33134826"},{"period":30,"volume":"25328921.6411439"}]]
2017-10-31 15:05:21.669UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"70481.4134877"},{"period":7,"volume":"647168.35576759"},{"period":30,"volume":"4383416.0302549"}]]
2017-10-31 18:14:21.031UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"585280.75650935"},{"period":7,"volume":"4141598.77393668"},{"period":30,"volume":"25474592.90105472"}]]
2017-10-31 18:14:21.031UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"73613.23199076"},{"period":7,"volume":"640156.07417286"},{"period":30,"volume":"4376766.76825969"}]]
2017-10-31 18:14:22.517UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"34058.3437739"},{"period":7,"volume":"293261.29420253"},{"period":30,"volume":"1332243.4913491"}]]
2017-10-31 18:15:46.677UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"34058.3437739"},{"period":7,"volume":"293261.29420253"},{"period":30,"volume":"1332243.4913491"}]]
2017-10-31 18:15:46.677UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"73613.23199076"},{"period":7,"volume":"640156.07417286"},{"period":30,"volume":"4376766.76825969"}]]
2017-10-31 18:15:46.679UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"585280.75650935"},{"period":7,"volume":"4141598.77393668"},{"period":30,"volume":"25474592.90105472"}]]
2017-10-31 18:19:41.415UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"34058.3437739"},{"period":7,"volume":"293261.29420253"},{"period":30,"volume":"1332243.4913491"}]]
2017-10-31 18:19:41.421UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"73613.23199076"},{"period":7,"volume":"640156.07417286"},{"period":30,"volume":"4376766.76825969"}]]
2017-10-31 18:19:41.485UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"585280.75650935"},{"period":7,"volume":"4141598.77393668"},{"period":30,"volume":"25474592.90105472"}]]
